scene_id,label,experiment_name,target_object_id,target_category,prior_object_id,asset_format,original_count,inserted_count,inserted_ratio,survived_3000,survival_ratio_3000,survived_15000,survival_ratio_15000
room_0,prior_full,03-24-priorfull-15k-2026,6,lamp,replica_room_0_obj_6,gaussian,15786,15786,1.0,3646,0.2309641454453313,585,0.037058152793614595
room_0,prior_full,03-24-priorfull-15k-2026,9,sofa,replica_room_0_obj_9,gaussian,47762,47762,1.0,43896,0.9190569909132783,19672,0.4118755496001005
room_0,prior_full,03-24-priorfull-15k-2026,77,sofa,replica_room_0_obj_77,gaussian,53683,53683,1.0,48059,0.8952368533800272,21166,0.3942775180224652
room_0,prior_full,03-24-priorfull-15k-2026,74,chair,replica_room_0_obj_74,gaussian,34054,34054,1.0,30297,0.8896752217067011,16050,0.47131027192106656
office_0,prior_full,03-24-priorfull-15k-2026,9,sofa,replica_office_0_obj_9,gaussian,45382,45382,1.0,36962,0.8144638843594376,11446,0.25221453439689745
office_0,prior_full,03-24-priorfull-15k-2026,7,sofa,replica_office_0_obj_7,gaussian,35493,35493,1.0,18071,0.5091426478460541,4642,0.13078635223846954
office_0,prior_full,03-24-priorfull-15k-2026,58,table,replica_office_0_obj_58,gaussian,32030,32030,1.0,26097,0.81476740555729,9604,0.2998438963471745
office_0,prior_full,03-24-priorfull-15k-2026,61,chair,replica_office_0_obj_61,gaussian,43916,43916,1.0,37943,0.8639903452044813,19674,0.4479916203661536
room_0,prior_100k,03-24-prior100k-15k-2026,6,lamp,replica_room_0_obj_6,gaussian,15786,10434,0.6609654123907259,1790,0.17155453325666092,503,0.048207782250335444
room_0,prior_100k,03-24-prior100k-15k-2026,9,sofa,replica_room_0_obj_9,gaussian,47762,31571,0.661006658012646,28630,0.9068448892971398,14590,0.4621329701308163
room_0,prior_100k,03-24-prior100k-15k-2026,77,sofa,replica_room_0_obj_77,gaussian,53683,35485,0.6610100031667381,31580,0.8899535014794984,15665,0.4414541355502325
room_0,prior_100k,03-24-prior100k-15k-2026,74,chair,replica_room_0_obj_74,gaussian,34054,22510,0.6610089857285488,20360,0.9044868947134607,13516,0.6004442470013327
office_0,prior_100k,03-24-prior100k-15k-2026,9,sofa,replica_office_0_obj_9,gaussian,45382,28939,0.6376757304658235,23688,0.8185493624520543,8948,0.30920211479318566
office_0,prior_100k,03-24-prior100k-15k-2026,7,sofa,replica_office_0_obj_7,gaussian,35493,22633,0.6376750345138478,11893,0.5254716564308752,4125,0.18225599787920294
office_0,prior_100k,03-24-prior100k-15k-2026,58,table,replica_office_0_obj_58,gaussian,32030,20424,0.6376522010615049,16468,0.8063063063063063,7160,0.35056795926361145
office_0,prior_100k,03-24-prior100k-15k-2026,61,chair,replica_office_0_obj_61,gaussian,43916,28004,0.6376719191183168,23728,0.847307527496072,14375,0.5133195257820311
